,Heart Rate,Systolic BP,Diastolic BP,Body Temperature
2023-01-01 00:00:00,76.95251814975681,126.97237407859919,69.96750594047433,37.447692019400854
2023-01-01 01:00:00,75.44314534463012,128.52521178772972,76.6809410009748,36.52264696131135
2023-01-01 02:00:00,86.79350525457842,114.23583177413005,81.57884554984297,37.5
2023-01-01 03:00:00,67.52154528225138,123.19355205868162,82.92008842258957,36.637412773545016
2023-01-01 04:00:00,77.26407871328297,122.60751030857857,80.01113388225507,36.99687604119661
2023-01-01 05:00:00,69.93506313780158,136.3131034407472,84.53206036306977,36.5
2023-01-01 06:00:00,81.02818081221642,111.06844296598554,79.70945244134619,36.701840527965324
2023-01-01 07:00:00,68.59011957020121,111.95318662486225,68.46735126384227,37.5
2023-01-01 08:00:00,72.77400501856931,112.97781507472561,72.8079530135226,36.915253650576105
2023-01-01 09:00:00,93.46052014830329,119.33104098121773,66.32031481242888,37.307821157056445
2023-01-01 10:00:00,60.0,138.40109281733368,75.65300490542117,36.9568493804529
2023-01-01 11:00:00,76.68309785110205,118.11036825312594,78.54466974290818,36.975462611696045
2023-01-01 12:00:00,67.51784183875364,113.86926252383752,90.0,37.286858715681404
2023-01-01 13:00:00,73.84922756983315,126.75138810312788,83.30666858052672,37.5
2023-01-01 14:00:00,77.33474249401692,129.02893436866378,89.48856685549032,37.43438841017671
2023-01-01 15:00:00,60.89956523448937,140.0,68.06996913990812,36.82483709852098
2023-01-01 16:00:00,83.09458912723373,111.55975069212452,67.54448760675447,36.79027825498785
2023-01-01 17:00:00,66.90644770460247,108.34371607674098,78.73851690835599,36.5
2023-01-01 18:00:00,77.68451541828422,127.69602792858629,90.0,36.913784759006724
2023-01-01 19:00:00,60.0,113.64917297540315,71.74720938141988,37.39729401430071
2023-01-01 20:00:00,83.28923089346921,127.93756027570946,86.64875481286778,36.637617913668
2023-01-01 21:00:00,80.72200374794303,98.66029105042776,76.18221943015502,37.218504871068426
2023-01-01 22:00:00,74.6696114540695,133.88750694310855,90.0,37.25021984397674
2023-01-01 23:00:00,71.65705129389578,133.4233507156335,68.84779773077913,36.89116293816506
2023-01-02 00:00:00,81.48013052303664,114.11739849546008,77.43494301756975,36.5
2023-01-02 01:00:00,89.58279316479017,118.70037965724818,83.50253216592294,36.55890568831448
2023-01-02 02:00:00,60.0,132.67476476390016,76.51395982375158,37.5
2023-01-02 03:00:00,81.56473020266608,124.11331292765887,86.63698398609466,36.651946720484084
